ID,Prompt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Task Type,Unnamed: 13,Difficulty
1,What is the capital of India?,,,,,,,,,,,Factual QA,,Easy
2,What is 5 + 7?,,,,,,,,,,,Mathematics,,Easy
3,"Translate ""Hello"" into French.",,,,,,,,,,,Translation,,Easy
4,What is Python?,,,,,,,,,,,Factual QA,,Easy
5,Write a Python program to print Hello World.,,,,,,,,,,,Coding,,Easy
6,What is the difference between RAM and ROM?,,,,,,,,,,,Factual QA,,Easy
7,Convert 100 centimeters to meters.,,,,,,,,,,,Mathematics,,Easy
8,Summarize this paragraph in one sentence.,,,,,,,,,,,Summarization,,Medium
9,What does HTML stand for?,,,,,,,,,,,Factual QA,,Easy
10,Write a Python function to add two numbers.,,,,,,,,,,,Coding,,Easy
11,What is an array?,,,,,,,,,,,Factual QA,,Easy
12,"Find the largest number in [4, 8, 2, 9].",,,,,,,,,,,Mathematics,,Easy
13,Translate this sentence into Spanish.,,,,,,,,,,,Translation,,Easy
14,What is a database?,,,,,,,,,,,Factual QA,,Easy
15,Write a Python program to print numbers from 1 to 10.,,,,,,,,,,,Coding,,Easy
16,What is machine learning?,,,,,,,,,,,Factual QA,,Easy
17,"Calculate the average of 10, 20, and 30.",,,,,,,,,,,Mathematics,,Easy
18,Extract all email addresses from this text.,,,,,,,,,,,Extraction,,Easy
19,What is an API?,,,,,,,,,,,Factual QA,,Easy
20,Write a Python program to check whether a number is even.,,,,,,,,,,,Coding,,Easy
21,Explain how binary search works.,,,,,,,,,,,Explanation,,Medium
22,Write a Python program to find duplicate values in a list.,,,,,,,,,,,Coding,,Medium
23,Explain the difference between TCP and UDP.,,,,,,,,,,,Factual QA,,Medium
24,Summarize a 500-word article into five bullet points.,,,,,,,,,,,Summarization,,Medium
25,Write a Python program to count word frequencies in a paragraph.,,,,,,,,,,,Coding,,Medium
26,Explain why binary search has O(log n) complexity.,,,,,,,,,,,Reasoning,,Medium
27,Solve the system 2x+y=5 and x+2y=4.,,,,,,,,,,,Mathematics,,Medium
28,Compare SQL and NoSQL databases.,,,,,,,,,,,Analysis,,Medium
29,Write a function to check whether a string is a palindrome.,,,,,,,,,,,Coding,,Medium
30,Explain how an HTTP request works.,,,,,,,,,,,Explanation,,Medium
31,Find the second-largest element in an array without sorting it.,,,,,,,,,,,Coding,,Medium
32,Explain the advantages and disadvantages of cloud computing.,,,,,,,,,,,Analysis,,Medium
33,Write a program to count vowels and consonants in a string.,,,,,,,,,,,Coding,,Medium
34,Explain the difference between supervised and unsupervised learning.,,,,,,,,,,,Explanation,,Medium
35,"Given a dataset, calculate its mean and standard deviation.",,,,,,,,,,,Mathematics,,Medium
36,Design a simple database schema for a library system.,,,,,,,,,,,Planning,,Medium
37,Explain how a REST API works with an example.,,,,,,,,,,,Explanation,,Medium
38,Write a Python program to merge two sorted lists.,,,,,,,,,,,Coding,,Medium
39,Analyze the time complexity of nested loops.,,,,,,,,,,,Analysis,,Medium
40,Explain how garbage collection works in Python.,,,,,,,,,,,Explanation,,Medium
41,Design a scalable architecture for an online shopping application.,,,,,,,,,,,Architecture,,Hard
42,Analyze this Python program and identify potential performance bottlenecks.,,,,,,,,,,,Coding,,Hard
43,Design a fault-tolerant distributed system for millions of users.,,,,,,,,,,,Architecture,,Hard
44,Prove that the given mathematical statement is true using induction.,,,,,,,,,,,Mathematics,,Hard
45,Analyze a large codebase and identify possible security vulnerabilities.,,,,,,,,,,,Coding,,Hard
46,Compare microservices and monolithic architectures for a large enterprise.,,,,,,,,,,,Analysis,,Hard
47,Design a database capable of handling millions of transactions per second.,,,,,,,,,,,Architecture,,Hard
48,Debug this multithreaded program and explain the race condition.,,,,,,,,,,,Coding,,Hard
49,Analyze the scalability problems in this distributed application.,,,,,,,,,,,Analysis,,Hard
50,Design an AI recommendation system for an e-commerce platform.,,,,,,,,,,,Architecture,,Hard
51,Develop an algorithm for detecting fraudulent financial transactions.,,,,,,,,,,,Algorithm,,Hard
52,"Explain the trade-offs between consistency, availability, and partition tolerance.",,,,,,,,,,,Reasoning,,Hard
53,Design a fault-tolerant payment processing system.,,,,,,,,,,,Architecture,,Hard
54,Analyze this algorithm and prove its worst-case complexity.,,,,,,,,,,,Mathematics,,Hard
55,Develop a strategy for reducing latency in a distributed API.,,,,,,,,,,,Planning,,Hard
56,Design a secure authentication system for a banking application.,,,,,,,,,,,Architecture,,Hard
57,Analyze conflicting requirements and propose an optimal solution.,,,,,,,,,,,Reasoning,,Hard
58,Design an ML pipeline for detecting credit-card fraud.,,,,,,,,,,,ML,,Hard
59,Debug a complex application involving database deadlocks.,,,,,,,,,,,Coding,,Hard
60,Design a system capable of processing millions of events per second.,,,,,,,,,,,Architecture,,Hard
61,"Given a long document, identify contradictions between different sections.",,,,,,,,,,,Analysis,,Hard
62,Compare multiple ML algorithms and recommend one for an imbalanced dataset.,,,,,,,,,,,ML,,Hard
63,Design a distributed file-storage system similar to cloud storage.,,,,,,,,,,,Architecture,,Hard
64,Analyze the security implications of storing user credentials incorrectly.,,,,,,,,,,,Security,,Hard
65,Develop an optimization strategy for a computationally expensive algorithm.,,,,,,,,,,,Optimization,,Hard
66,Design a real-time vehicle tracking system for a large city.,,,,,,,,,,,Architecture,,Hard
67,Analyze why a machine-learning model performs poorly despite high training accuracy.,,,,,,,,,,,ML,,Hard
68,Design a recommendation algorithm using collaborative filtering.,,,,,,,,,,,ML,,Hard
69,Explain and solve a complex dynamic programming problem.,,,,,,,,,,,Algorithm,,Hard
70,Design a reliable message-processing system that guarantees delivery.,,,,,,,,,,,Architecture,,Hard
71,Summarize a 10-page technical document while preserving all critical information.,,,,,,,,,,,Summarization,,Hard
72,Analyze a long legal-style document and identify conflicting clauses.,,,,,,,,,,,Analysis,,Hard
73,Design a multi-region cloud architecture with disaster recovery.,,,,,,,,,,,Architecture,,Hard
74,Optimize a slow SQL query involving multiple large tables.,,,,,,,,,,,Database,,Hard
75,Design an NLP system capable of classifying millions of documents.,,,,,,,,,,,NLP,,Hard
76,Analyze the causes of model hallucination and propose mitigation techniques.,,,,,,,,,,,AI Analysis,,Hard
77,Design a scalable API gateway capable of handling millions of requests.,,,,,,,,,,,Architecture,,Hard
78,Compare different caching strategies for a high-traffic application.,,,,,,,,,,,Analysis,,Hard
79,Design a secure system for storing sensitive customer information.,,,,,,,,,,,Security,,Hard
80,Analyze a complex software architecture and recommend improvements.,,,,,,,,,,,Architecture,,Hard
81,Build an algorithm to detect anomalies in a large time-series dataset.,,,,,,,,,,,ML,,Hard
82,Design an LLM application capable of processing very large documents.,,,,,,,,,,,AI Architecture,,Hard
83,Analyze why an application experiences intermittent failures under heavy load.,,,,,,,,,,,Debugging,,Hard
84,Design an efficient distributed logging system.,,,,,,,,,,,Architecture,,Hard
85,Develop a strategy for optimizing GPU utilization during model inference.,,,,,,,,,,,Optimization,,Hard
86,Compare multiple LLMs and determine which model should handle different tasks.,,,,,,,,,,,AI Analysis,,Hard
87,Design a cost-aware AI inference system that maintains a quality threshold.,,,,,,,,,,,AI Architecture,,Hard
88,"Analyze the trade-off between model accuracy, latency, and inference cost.",,,,,,,,,,,Analysis,,Hard
89,Design an adaptive LLM routing system using historical performance data.,,,,,,,,,,,AI Architecture,,Hard
90,Develop an algorithm that dynamically selects an AI model based on request difficulty.,,,,,,,,,,,Algorithm,,Hard
91,Analyze how prompt caching can reduce LLM inference costs.,,,,,,,,,,,AI Analysis,,Medium
92,Design a cache invalidation strategy for frequently changing documents.,,,,,,,,,,,Architecture,,Hard
93,Compare model routing based on prompt length versus semantic difficulty.,,,,,,,,,,,Analysis,,Hard
94,Design an evaluation framework for comparing LLM answer quality.,,,,,,,,,,,AI Evaluation,,Hard
95,Analyze whether a cheaper LLM can safely answer a particular request.,,,,,,,,,,,AI Analysis,,Hard
96,Design a system that automatically escalates requests when answer quality is insufficient.,,,,,,,,,,,AI Architecture,,Hard
97,"Create an optimization strategy balancing LLM cost, latency, and quality.",,,,,,,,,,,Optimization,,Hard
98,Design an experiment to prove that an LLM routing system reduces cost without degrading quality.,,,,,,,,,,,Experimentation,,Hard
99,Analyze a dataset of LLM requests and discover which features predict model failure.,,,,,,,,,,,Data Analysis,,Hard
100,"Design an intelligent LLM gateway that combines routing, caching, quality evaluation, and automatic escalation.",,,,,,,,,,,AI Architecture,,Hard
101,What is a variable?,,,,,,,,,,,Factual QA,,Easy
102,Explain how version control with Git works.,,,,,,,,,,,Explanation,,Medium
103,What is the capital of Peru?,,,,,,,,,,,Factual QA,,Easy
104,Write a program to validate whether a given string has balanced parentheses.,,,,,,,,,,,Coding,,Medium
105,Design an NLP system capable of summarizing millions of customer reviews.,,,,,,,,,,,NLP,,Hard
106,Build an algorithm to detect outliers in high-dimensional data.,,,,,,,,,,,ML,,Hard
107,Find the derivative of f(x) = 3x^2 + 2x - 5.,,,,,,,,,,,Mathematics,,Medium
108,Optimize a slow SQL query involving multiple joins and subqueries.,,,,,,,,,,,Database,,Hard
109,Summarize this email into a single sentence.,,,,,,,,,,,Summarization,,Medium
110,Develop an algorithm for optimal task scheduling under resource constraints.,,,,,,,,,,,Algorithm,,Hard
111,What is a linked list?,,,,,,,,,,,Factual QA,,Easy
112,What is 72 + 11?,,,,,,,,,,,Mathematics,,Easy
113,Analyze why a deep learning model overfits despite regularization.,,,,,,,,,,,ML,,Hard
114,Design an AI system that dynamically selects between multiple models based on task complexity.,,,,,,,,,,,AI Architecture,,Hard
115,Analyze the trade-offs between strong consistency and eventual consistency.,,,,,,,,,,,Analysis,,Hard
116,Design an algorithm for efficient string matching across millions of documents.,,,,,,,,,,,Algorithm,,Hard
117,Convert 5 kilometers to meters.,,,,,,,,,,,Mathematics,,Easy
118,Develop a strategy for optimizing database indexing for read-heavy workloads.,,,,,,,,,,,Optimization,,Hard
119,Write a Python program to implement a queue using two stacks.,,,,,,,,,,,Coding,,Medium
120,Explain how containerization with Docker works.,,,,,,,,,,,Explanation,,Medium
121,Explain how a REST API handles authentication using tokens.,,,,,,,,,,,Explanation,,Medium
122,What is the capital of Canada?,,,,,,,,,,,Factual QA,,Easy
123,"Summarize a lengthy legal contract, highlighting all obligations and risks.",,,,,,,,,,,Summarization,,Hard
124,Develop an algorithm for detecting duplicate records across large datasets.,,,,,,,,,,,Algorithm,,Hard
125,Explain how a binary tree is traversed.,,,,,,,,,,,Explanation,,Medium
126,Develop a rollout plan for deploying a new feature with minimal downtime.,,,,,,,,,,,Planning,,Hard
127,Summarize this product review in one sentence.,,,,,,,,,,,Summarization,,Medium
128,Explain how HTTPS encryption works.,,,,,,,,,,,Explanation,,Medium
129,Explain how CI/CD pipelines work.,,,,,,,,,,,Explanation,,Medium
130,Write a Python program to reverse a string.,,,,,,,,,,,Coding,,Easy
131,What is 23 + 9?,,,,,,,,,,,Mathematics,,Easy
132,"Find the sum of the elements in [1, 2, 3, 4, 5].",,,,,,,,,,,Mathematics,,Easy
133,Summarize this news article in two sentences.,,,,,,,,,,,Summarization,,Medium
134,What is the capital of Portugal?,,,,,,,,,,,Factual QA,,Easy
135,Write a function to check whether a linked list contains a cycle.,,,,,,,,,,,Coding,,Medium
136,What is 17 + 24?,,,,,,,,,,,Mathematics,,Easy
137,Explain the difference between IPv4 and IPv6.,,,,,,,,,,,Factual QA,,Medium
138,Solve the system 3x+2y=12 and x-y=1.,,,,,,,,,,,Mathematics,,Medium
139,What is the capital of Norway?,,,,,,,,,,,Factual QA,,Easy
140,Summarize a 20-page technical whitepaper while preserving all critical findings.,,,,,,,,,,,Summarization,,Hard
141,What is 6 multiplied by 7?,,,,,,,,,,,Mathematics,,Easy
142,What is JavaScript?,,,,,,,,,,,Factual QA,,Easy
143,Design a scalable architecture for a ride-sharing application.,,,,,,,,,,,Architecture,,Hard
144,Optimize a slow-running batch processing job handling terabytes of data.,,,,,,,,,,,Optimization,,Hard
145,What is the capital of Egypt?,,,,,,,,,,,Factual QA,,Easy
146,Explain the difference between synchronous and asynchronous programming.,,,,,,,,,,,Factual QA,,Medium
147,Analyze a legacy codebase written in Java and identify refactoring opportunities.,,,,,,,,,,,Coding,,Hard
148,What is the capital of Australia?,,,,,,,,,,,Factual QA,,Easy
149,"Translate ""Thank you"" into German.",,,,,,,,,,,Translation,,Easy
150,What does CPU stand for?,,,,,,,,,,,Factual QA,,Easy
151,What is the capital of Brazil?,,,,,,,,,,,Factual QA,,Easy
152,What is the capital of Greece?,,,,,,,,,,,Factual QA,,Easy
153,Write a Python program to print the Fibonacci sequence up to 10 terms.,,,,,,,,,,,Coding,,Easy
154,Explain the difference between REST and GraphQL.,,,,,,,,,,,Factual QA,,Medium
155,Design a secure system for handling API authentication tokens.,,,,,,,,,,,Security,,Hard
156,Compare vertical scaling and horizontal scaling for a growing application.,,,,,,,,,,,Analysis,,Medium
157,Develop an algorithm to detect cycles in a large directed graph.,,,,,,,,,,,Algorithm,,Hard
158,Design a retrieval-augmented generation system for enterprise knowledge bases.,,,,,,,,,,,AI Architecture,,Hard
159,Explain the trade-offs between latency and throughput in a distributed system.,,,,,,,,,,,Reasoning,,Hard
160,Write a Python program to remove duplicates from a list without using set().,,,,,,,,,,,Coding,,Medium
161,Extract all dates mentioned in this paragraph.,,,,,,,,,,,Extraction,,Easy
162,Analyze this recursive function and identify why it causes a stack overflow.,,,,,,,,,,,Coding,,Hard
163,Debug a memory leak in a long-running Node.js application.,,,,,,,,,,,Coding,,Hard
164,Convert 1 mile to kilometers.,,,,,,,,,,,Mathematics,,Easy
165,What is a queue data structure?,,,,,,,,,,,Factual QA,,Easy
166,Explain how a compiler differs from an interpreter.,,,,,,,,,,,Explanation,,Medium
167,Debug this asynchronous JavaScript code and explain the race condition.,,,,,,,,,,,Coding,,Hard
168,Write a Python program to implement binary search on a sorted list.,,,,,,,,,,,Coding,,Medium
169,"Translate ""Welcome"" into Japanese.",,,,,,,,,,,Translation,,Easy
170,What is the capital of Vietnam?,,,,,,,,,,,Factual QA,,Easy
171,Convert 2 hours into minutes.,,,,,,,,,,,Mathematics,,Easy
172,Analyze why a production service experiences memory leaks under sustained load.,,,,,,,,,,,Debugging,,Hard
173,Write a Python program to convert Celsius to Fahrenheit.,,,,,,,,,,,Coding,,Easy
174,Summarize a customer support transcript into a short report.,,,,,,,,,,,Summarization,,Medium
175,What is the capital of Japan?,,,,,,,,,,,Factual QA,,Easy
176,Write a Python program to find the GCD of two numbers.,,,,,,,,,,,Coding,,Medium
177,Explain how a load balancer works.,,,,,,,,,,,Explanation,,Medium
178,Analyze conflicting business requirements for a multi-region deployment and propose a resolution.,,,,,,,,,,,Reasoning,,Hard
179,"Translate ""Good morning"" into Italian.",,,,,,,,,,,Translation,,Easy
