prompt_id,cluster_id,model_key,n_budget,bon_score,mean_latency_sec
432,0,junior,1,0.5361735698828816,0.42980284918067396
432,0,junior,3,0.8177825104175502,0.4387313003957077
432,0,junior,5,0.7423685245029376,0.392630805794012
571,0,junior,1,0.4087696298664709,0.34551855546872734
571,0,junior,3,0.6709534878377977,0.42614801346245884
571,0,junior,5,0.8961716096943039,0.37276798466778266
291,0,junior,1,0.3540329876120225,0.41253181570028535
291,0,junior,3,0.6769980569858082,0.3921428353393221
291,0,junior,5,0.7721114201274969,0.38490082655278546
364,0,junior,1,0.64312801191162,0.4618599713497571
364,0,junior,3,0.757415741579047,0.38365667064659426
364,0,junior,5,0.864747447890007,0.39753056957557587
929,0,junior,1,0.7064643655814007,0.39785043765340294
929,0,junior,3,0.6690373065203613,0.3657840893704731
929,0,junior,5,0.8024840030136176,0.403462850886987
619,0,junior,1,0.646864499053289,0.40582465296088244
619,0,junior,3,0.6894732565732687,0.3715635321278545
619,0,junior,5,0.8995623813644631,0.37110154890309727
1050,0,junior,1,0.5425554084233833,0.4154530234433659
1050,0,junior,3,0.9061854401153397,0.3622989023838554
1050,0,junior,5,0.929989353824408,0.41778877584304086
459,0,junior,1,0.49337022703972283,0.3405678204921587
459,0,junior,3,0.7072204719303292,0.3609102455981062
459,0,junior,5,0.8416580666716529,0.40406455095533794
362,0,junior,1,0.6281822871777311,0.41559296765490544
362,0,junior,3,0.6945060498165087,0.3592906848330908
362,0,junior,5,0.7896522516176553,0.41196069450399503
119,0,junior,1,0.467931768164829,0.4695157347404443
119,0,junior,3,0.8495405271322058,0.44396434432350623
119,0,junior,5,0.982960707902372,0.38602499620169917
646,0,junior,1,0.4642842443583718,0.43754004086590037
646,0,junior,3,0.7312612782760203,0.38376234263712444
646,0,junior,5,0.7494755292162938,0.3791480397235886
239,0,junior,1,0.4357029702169377,0.40349252310676004
239,0,junior,3,0.7652414340703014,0.44003246259783585
239,0,junior,5,0.82450035526147,0.47160989086929767
861,0,junior,1,0.5263181393259991,0.3536304871277457
861,0,junior,3,0.7284872479042624,0.43822338316461457
861,0,junior,5,0.7789035661368777,0.38665900315700946
784,0,junior,1,0.6133919022318012,0.5286366453595196
784,0,junior,3,0.7451045623464335,0.34999050526686865
784,0,junior,5,0.8874892152715198,0.39233199422911486
560,0,junior,1,0.6532465260551148,0.527329371820758
560,0,junior,3,0.7373246342097448,0.3852661422073272
560,0,junior,5,0.8741849216365737,0.33394385247476316
653,0,junior,1,0.4064137848820561,0.48647639734396697
653,0,junior,3,0.7060715762931382,0.4038377632425319
653,0,junior,5,0.9242471287090368,0.42455383988855094
20,0,junior,1,0.4877300480179407,0.416859512064102
20,0,junior,3,0.7448214385689136,0.37419024116079364
20,0,junior,5,0.7856731517557363,0.42184474415380435
241,0,junior,1,0.49084286111641706,0.4766598937473055
241,0,junior,3,0.7697389140655301,0.40254447051017844
241,0,junior,5,0.9201825188119561,0.42426802259172447
176,0,junior,1,0.42858113872122683,0.3396389571100179
176,0,junior,3,0.7226957797932391,0.45147786769030324
176,0,junior,5,0.7522369366709726,0.39281449602165663
1013,0,junior,1,0.4993056824628871,0.4146979942665234
1013,0,junior,3,0.6385165136956263,0.36625854580483974
1013,0,junior,5,0.7432156472772191,0.42957962401460154
820,1,junior,1,0.7032738913002579,0.43116079085447034
820,1,junior,3,0.6822704770478528,0.41966191130706393
820,1,junior,5,0.9262620369945658,0.4155798206559136
303,1,junior,1,0.4691701714644849,0.5313881759930603
303,1,junior,3,0.6749006075144318,0.32873979576130796
303,1,junior,5,0.8940896678288455,0.42031638791402004
1112,1,junior,1,0.6853872374165413,0.2972119282545474
1112,1,junior,3,0.6645592882432853,0.39057697615852954
1112,1,junior,5,0.838711473433261,0.3889969621381152
791,1,junior,1,0.4751513463443447,0.4199388407187755
791,1,junior,3,0.8659360213550098,0.4569224758775842
791,1,junior,5,0.816786239928369,0.4212602901881521
975,1,junior,1,0.6217542255795963,0.38383558993332656
975,1,junior,3,0.6543064589771492,0.46410134756174193
975,1,junior,5,0.7779110461264139,0.3626840687294524
856,1,junior,1,0.6455142320501239,0.3962392541636097
856,1,junior,3,0.6491581928713553,0.37976125701619723
856,1,junior,5,0.7866945622481406,0.3945848317475141
414,1,junior,1,0.49241817593553205,0.3681699311433684
414,1,junior,3,0.8243580002169395,0.3181567215182844
414,1,junior,5,0.7312901548301324,0.4595001429521003
638,1,junior,1,0.44184519963856056,0.36120562694544844
