ID,Prompt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Task Type,Unnamed: 13,Difficulty,cluster_id
1,What is the capital of India?,,,,,,,,,,,Factual QA,,Easy,4
2,What is 5 + 7?,,,,,,,,,,,Mathematics,,Easy,3
3,"Translate ""Hello"" into French.",,,,,,,,,,,Translation,,Easy,9
4,What is Python?,,,,,,,,,,,Factual QA,,Easy,0
5,Write a Python program to print Hello World.,,,,,,,,,,,Coding,,Easy,0
6,What is the difference between RAM and ROM?,,,,,,,,,,,Factual QA,,Easy,6
7,Convert 100 centimeters to meters.,,,,,,,,,,,Mathematics,,Easy,8
8,Summarize this paragraph in one sentence.,,,,,,,,,,,Summarization,,Medium,2
9,What does HTML stand for?,,,,,,,,,,,Factual QA,,Easy,1
10,Write a Python function to add two numbers.,,,,,,,,,,,Coding,,Easy,0
11,What is an array?,,,,,,,,,,,Factual QA,,Easy,1
12,"Find the largest number in [4, 8, 2, 9].",,,,,,,,,,,Mathematics,,Easy,8
13,Translate this sentence into Spanish.,,,,,,,,,,,Translation,,Easy,9
14,What is a database?,,,,,,,,,,,Factual QA,,Easy,1
15,Write a Python program to print numbers from 1 to 10.,,,,,,,,,,,Coding,,Easy,0
16,What is machine learning?,,,,,,,,,,,Factual QA,,Easy,1
17,"Calculate the average of 10, 20, and 30.",,,,,,,,,,,Mathematics,,Easy,8
18,Extract all email addresses from this text.,,,,,,,,,,,Extraction,,Easy,2
19,What is an API?,,,,,,,,,,,Factual QA,,Easy,1
20,Write a Python program to check whether a number is even.,,,,,,,,,,,Coding,,Easy,0
21,Explain how binary search works.,,,,,,,,,,,Explanation,,Medium,6
22,Write a Python program to find duplicate values in a list.,,,,,,,,,,,Coding,,Medium,0
23,Explain the difference between TCP and UDP.,,,,,,,,,,,Factual QA,,Medium,6
24,Summarize a 500-word article into five bullet points.,,,,,,,,,,,Summarization,,Medium,2
25,Write a Python program to count word frequencies in a paragraph.,,,,,,,,,,,Coding,,Medium,0
26,Explain why binary search has O(log n) complexity.,,,,,,,,,,,Reasoning,,Medium,6
27,Solve the system 2x+y=5 and x+2y=4.,,,,,,,,,,,Mathematics,,Medium,8
28,Compare SQL and NoSQL databases.,,,,,,,,,,,Analysis,,Medium,7
29,Write a function to check whether a string is a palindrome.,,,,,,,,,,,Coding,,Medium,0
30,Explain how an HTTP request works.,,,,,,,,,,,Explanation,,Medium,6
31,Find the second-largest element in an array without sorting it.,,,,,,,,,,,Coding,,Medium,8
32,Explain the advantages and disadvantages of cloud computing.,,,,,,,,,,,Analysis,,Medium,6
33,Write a program to count vowels and consonants in a string.,,,,,,,,,,,Coding,,Medium,0
34,Explain the difference between supervised and unsupervised learning.,,,,,,,,,,,Explanation,,Medium,6
35,"Given a dataset, calculate its mean and standard deviation.",,,,,,,,,,,Mathematics,,Medium,8
36,Design a simple database schema for a library system.,,,,,,,,,,,Planning,,Medium,7
37,Explain how a REST API works with an example.,,,,,,,,,,,Explanation,,Medium,6
38,Write a Python program to merge two sorted lists.,,,,,,,,,,,Coding,,Medium,0
39,Analyze the time complexity of nested loops.,,,,,,,,,,,Analysis,,Medium,6
40,Explain how garbage collection works in Python.,,,,,,,,,,,Explanation,,Medium,6
41,Design a scalable architecture for an online shopping application.,,,,,,,,,,,Architecture,,Hard,7
42,Analyze this Python program and identify potential performance bottlenecks.,,,,,,,,,,,Coding,,Hard,0
43,Design a fault-tolerant distributed system for millions of users.,,,,,,,,,,,Architecture,,Hard,7
44,Prove that the given mathematical statement is true using induction.,,,,,,,,,,,Mathematics,,Hard,8
45,Analyze a large codebase and identify possible security vulnerabilities.,,,,,,,,,,,Coding,,Hard,5
46,Compare microservices and monolithic architectures for a large enterprise.,,,,,,,,,,,Analysis,,Hard,7
47,Design a database capable of handling millions of transactions per second.,,,,,,,,,,,Architecture,,Hard,7
48,Debug this multithreaded program and explain the race condition.,,,,,,,,,,,Coding,,Hard,5
49,Analyze the scalability problems in this distributed application.,,,,,,,,,,,Analysis,,Hard,7
50,Design an AI recommendation system for an e-commerce platform.,,,,,,,,,,,Architecture,,Hard,7
51,Develop an algorithm for detecting fraudulent financial transactions.,,,,,,,,,,,Algorithm,,Hard,7
52,"Explain the trade-offs between consistency, availability, and partition tolerance.",,,,,,,,,,,Reasoning,,Hard,6
53,Design a fault-tolerant payment processing system.,,,,,,,,,,,Architecture,,Hard,7
54,Analyze this algorithm and prove its worst-case complexity.,,,,,,,,,,,Mathematics,,Hard,6
